,dt,AverageTemperature,AverageTemperatureUncertainty,Country,Aug1912,diff
0,2012-08-01,15.605,0.269,Åland,16.052,0.447
1,2012-08-01,26.549,0.328,Afghanistan,24.492,2.057
2,2012-08-01,24.966,0.631,Albania,25.162,0.196
3,2012-08-01,34.01,0.72,Algeria,21.015,12.995
4,2012-08-01,26.922,0.434,American Samoa,33.367,6.445
5,2012-08-01,22.514,0.402,Andorra,25.679,3.165
6,2012-08-01,21.817,0.75,Angola,20.139,1.678
7,2012-08-01,28.903,0.481,Antigua And Barbuda,28.013,0.89
8,2012-08-01,10.842,0.266,Argentina,27.739,16.897
9,2012-08-01,23.687,0.547,Armenia,8.396,15.291
10,2012-08-01,30.232,0.613,Aruba,20.29,9.942
11,2012-08-01,20.591,0.252,Asia,29.083,8.492
12,2012-08-01,16.408,0.315,Australia,16.36,0.048
13,2012-08-01,25.547,0.352,Azerbaijan,28.117,2.57
14,2012-08-01,28.988,0.246,Bahamas,33.795,4.807
15,2012-08-01,36.749,0.613,Bahrain,25.053,11.696
16,2012-08-01,26.291,0.437,Baker Island,28.105,1.814
17,2012-08-01,28.908,0.384,Bangladesh,16.592,12.316
18,2012-08-01,28.195,0.738,Barbados,14.474,13.721
19,2012-08-01,19.277,0.301,Belgium,25.884,6.607
20,2012-08-01,26.893,0.327,Belize,25.151,1.742
21,2012-08-01,25.44,0.323,Benin,19.439,6.001
22,2012-08-01,29.225,0.499,Bonaire Saint Eustatius And Saba,28.082,1.143
23,2012-08-01,23.628,0.698,Bosnia And Herzegovina,24.155,0.527
24,2012-08-01,25.349,0.276,Brazil,27.897,2.548
25,2012-08-01,28.907,0.311,British Virgin Islands,19.564,9.343
26,2012-08-01,23.591,0.441,Bulgaria,26.674,3.083
27,2012-08-01,26.729,0.484,Burkina Faso,25.733,0.996
28,2012-08-01,26.233,0.796,Burma,24.878,1.355
29,2012-08-01,21.355,0.608,Burundi,26.913,5.558
30,2012-08-01,25.082,0.411,Côte D'Ivoire,23.315,1.767
31,2012-08-01,27.887,0.568,Cambodia,10.386,17.501
32,2012-08-01,23.805,0.523,Cameroon,25.781,1.976
33,2012-08-01,13.045,0.245,Canada,28.327,15.282
34,2012-08-01,28.134,0.89,Cape Verde,24.196,3.938
35,2012-08-01,29.197,0.329,Cayman Islands,28.332,0.865
36,2012-08-01,24.63,1.081,Central African Republic,25.079,0.449
37,2012-08-01,27.975,1.653,Chad,24.366,3.609
38,2012-08-01,6.901,0.323,Chile,23.377,16.476
39,2012-08-01,19.458,0.281,China,23.458,4.0
40,2012-08-01,25.77,0.285,Christmas Island,23.614,2.156
41,2012-08-01,25.529,0.376,Colombia,25.463,0.066
42,2012-08-01,24.527,0.356,Comoros,27.357,2.83
43,2012-08-01,24.261,0.469,Congo (Democratic Republic Of The),28.198,3.937
44,2012-08-01,24.216,0.385,Congo,25.771,1.555
45,2012-08-01,26.794,1.146,Costa Rica,14.75,12.044
46,2012-08-01,24.412,0.534,Croatia,15.042,9.37
47,2012-08-01,28.301,0.252,Cuba,-4.092,32.393
48,2012-08-01,29.354,0.577,Curaçao,32.567,3.213
49,2012-08-01,19.156,0.368,Czech Republic,27.075,7.919
50,2012-08-01,-1.869,1.422,Denmark,26.77,28.639
51,2012-08-01,35.053,1.661,Djibouti,20.728,14.325
52,2012-08-01,28.023,0.261,Dominican Republic,25.019,3.004
53,2012-08-01,22.003,0.253,Ecuador,23.448,1.445
54,2012-08-01,31.297,0.556,Egypt,28.213,3.084
55,2012-08-01,25.781,0.267,El Salvador,22.139,3.642
56,2012-08-01,24.39,0.352,Equatorial Guinea,15.963,8.427
57,2012-08-01,29.801,0.698,Eritrea,1.766,28.035
58,2012-08-01,16.004,0.254,Estonia,9.459,6.545
59,2012-08-01,24.694,1.367,Ethiopia,26.263,1.569
60,2012-08-01,19.079,0.305,Europe,22.726,3.647
61,2012-08-01,5.886,0.933,Falkland Islands (Islas Malvinas),13.884,7.998
62,2012-08-01,11.491,0.56,Faroe Islands,15.396,3.905
63,2012-08-01,27.745,0.71,Federated States Of Micronesia,16.873,10.872
64,2012-08-01,24.076,0.227,Fiji,26.522,2.446
65,2012-08-01,13.286,0.356,Finland,24.609,11.323
66,2012-08-01,20.633,0.442,France (Europe),22.817,2.184
67,2012-08-01,21.327,0.419,France,26.547,5.22
68,2012-08-01,27.157,0.599,French Guiana,26.634,0.523
69,2012-08-01,25.666,0.514,French Polynesia,25.601,0.065
70,2012-08-01,3.719,1.225,French Southern And Antarctic Lands,23.463,19.744
71,2012-08-01,23.652,0.369,Gabon,-4.487,28.139
72,2012-08-01,27.682,0.409,Gambia,27.538,0.144
73,2012-08-01,28.793,0.907,Gaza Strip,26.727,2.066
74,2012-08-01,20.832,0.388,Georgia,23.807,2.975
75,2012-08-01,25.249,0.362,Ghana,13.397,11.852
76,2012-08-01,27.001,0.281,Greece,25.153,1.848
77,2012-08-01,-2.263,1.455,Greenland,23.765,26.028
78,2012-08-01,28.319,0.822,Grenada,25.969,2.35
79,2012-08-01,28.693,0.516,Guadeloupe,25.033,3.66
80,2012-08-01,27.146,0.981,Guam,6.404,20.742
81,2012-08-01,24.662,0.285,Guatemala,26.04,1.378
82,2012-08-01,26.527,0.808,Guinea Bissau,24.861,1.666
83,2012-08-01,24.885,0.899,Guinea,27.813,2.928
84,2012-08-01,26.927,0.736,Guyana,33.305,6.378
85,2012-08-01,28.77,0.351,Haiti,11.851,16.919
86,2012-08-01,1.356,1.289,Heard Island And Mcdonald Islands,11.641,10.285
87,2012-08-01,25.892,0.352,Honduras,26.831,0.939
88,2012-08-01,28.687,0.484,Hong Kong,19.962,8.725
89,2012-08-01,22.685,0.445,Hungary,27.132,4.447
90,2012-08-01,9.323,0.69,Iceland,23.87,14.547
91,2012-08-01,26.735,0.348,India,13.397,13.338
92,2012-08-01,26.065,0.288,Indonesia,27.845,1.78
93,2012-08-01,30.041,0.225,Iran,22.013,8.028
94,2012-08-01,35.669,0.565,Iraq,26.923,8.746
95,2012-08-01,15.743,0.406,Ireland,26.595,10.852
96,2012-08-01,15.538,0.229,Isle Of Man,35.734,20.196
97,2012-08-01,28.955,0.889,Israel,26.137,2.818
98,2012-08-01,24.623,0.41,Italy,16.997,7.626
99,2012-08-01,28.211,0.52,Jamaica,25.154,3.057
100,2012-08-01,25.703,0.307,Japan,9.534,16.169
101,2012-08-01,29.866,0.791,Jordan,24.124,5.742
102,2012-08-01,23.291,0.439,Kazakhstan,29.53,6.239
103,2012-08-01,23.908,0.333,Kenya,16.706,7.202
104,2012-08-01,28.191,0.661,Kingman Reef,14.401,13.79
105,2012-08-01,27.83,0.701,Kiribati,19.676,8.154
106,2012-08-01,38.02,1.001,Kuwait,19.852,18.168
107,2012-08-01,26.824,0.476,Laos,31.056,4.232
108,2012-08-01,16.4,0.25,Latvia,25.278,8.878
109,2012-08-01,27.564,1.006,Lebanon,27.075,0.489
110,2012-08-01,10.684,0.671,Lesotho,32.077,21.393
111,2012-08-01,24.945,0.871,Liberia,20.547,4.398
112,2012-08-01,30.556,1.758,Libya,24.586,5.97
113,2012-08-01,15.96,0.336,Liechtenstein,24.405,8.445
114,2012-08-01,16.842,0.311,Lithuania,15.684,1.158
115,2012-08-01,19.398,0.309,Luxembourg,13.875,5.523
116,2012-08-01,28.759,0.443,Macau,27.651,1.108
117,2012-08-01,23.688,0.606,Macedonia,25.42,1.732
118,2012-08-01,20.822,0.284,Madagascar,20.379,0.443
119,2012-08-01,19.575,0.66,Malawi,20.336,0.761
120,2012-08-01,26.889,0.372,Malaysia,19.468,7.421
121,2012-08-01,30.129,1.429,Mali,5.852,24.277
122,2012-08-01,28.514,0.557,Malta,26.001,2.513
123,2012-08-01,32.129,0.936,Mauritania,30.891,1.238
124,2012-08-01,22.046,0.344,Mauritius,25.283,3.237
125,2012-08-01,25.612,0.238,Mayotte,22.742,2.87
126,2012-08-01,25.681,0.336,Mexico,20.978,4.703
127,2012-08-01,22.626,0.423,Moldova,26.727,4.101
128,2012-08-01,20.91,0.46,Monaco,9.551,11.359
129,2012-08-01,16.495,0.445,Mongolia,16.465,0.03
130,2012-08-01,23.44,0.636,Montenegro,31.276,7.836
131,2012-08-01,28.125,0.86,Morocco,26.869,1.256
132,2012-08-01,21.456,0.656,Mozambique,24.407,2.951
133,2012-08-01,21.051,0.458,Nepal,26.974,5.923
134,2012-08-01,20.167,0.761,New Caledonia,26.215,6.048
135,2012-08-01,7.462,0.528,New Zealand,23.259,15.797
136,2012-08-01,26.993,0.613,Nicaragua,26.587,0.406
137,2012-08-01,30.102,0.861,Niger,16.253,13.849
138,2012-08-01,25.637,0.476,Nigeria,19.016,6.621
139,2012-08-01,24.253,0.488,Niue,34.06,9.807
140,2012-08-01,16.425,0.275,North America,20.716,4.291
141,2012-08-01,22.473,0.672,North Korea,10.507,11.966
142,2012-08-01,27.146,0.981,Northern Mariana Islands,20.154,6.992
143,2012-08-01,16.619,0.319,Oceania,28.013,11.394
144,2012-08-01,32.842,1.94,Oman,27.084,5.758
145,2012-08-01,27.519,1.053,Palau,27.345,0.174
146,2012-08-01,25.811,0.575,Palestina,28.013,2.202
147,2012-08-01,28.247,0.659,Palmyra Atoll,13.588,14.659
148,2012-08-01,27.452,0.89,Panama,27.408,0.044
149,2012-08-01,24.138,0.483,Papua New Guinea,25.429,1.291
150,2012-08-01,22.281,0.277,Paraguay,20.648,1.633
151,2012-08-01,20.131,0.529,Peru,24.531,4.4
152,2012-08-01,27.586,0.382,Philippines,33.564,5.978
153,2012-08-01,22.819,0.431,Portugal,26.971,4.152
154,2012-08-01,27.9,0.281,Puerto Rico,25.586,2.314
155,2012-08-01,22.233,0.333,Reunion,24.411,2.178
156,2012-08-01,21.887,0.316,Romania,26.371,4.484
157,2012-08-01,13.014,0.422,Russian Federation,28.013,14.999
158,2012-08-01,20.562,0.597,Rwanda,15.329,5.233
159,2012-08-01,28.436,0.704,Saint Lucia,16.932,11.504
160,2012-08-01,28.557,0.724,Saint Vincent And The Grenadines,25.732,2.825
161,2012-08-01,26.709,0.389,Samoa,26.617,0.092
162,2012-08-01,25.792,0.743,San Marino,12.693,13.099
163,2012-08-01,25.575,0.386,Sao Tome And Principe,20.021,5.554
164,2012-08-01,35.731,0.463,Saudi Arabia,-3.427,39.158
165,2012-08-01,27.964,0.357,Senegal,20.097,7.867
166,2012-08-01,23.453,0.431,Serbia,27.657,4.204
167,2012-08-01,27.144,0.781,Seychelles,27.95,0.806
168,2012-08-01,25.966,1.579,Sierra Leone,26.834,0.868
169,2012-08-01,27.556,0.542,Singapore,1.556,26.0
170,2012-08-01,19.325,0.459,Slovakia,15.626,3.699
171,2012-08-01,22.389,0.355,Slovenia,13.26,9.129
172,2012-08-01,27.439,1.347,Solomon Islands,12.664,14.775
173,2012-08-01,28.993,1.054,Somalia,27.948,1.045
174,2012-08-01,13.253,0.485,South Africa,26.385,13.132
175,2012-08-01,21.445,0.262,South America,15.096,6.349
176,2012-08-01,0.725,1.427,South Georgia And The South Sandwich Isla,20.897,20.172
177,2012-08-01,26.496,0.239,South Korea,26.781,0.285
178,2012-08-01,24.611,0.398,Spain,23.364,1.247
179,2012-08-01,28.442,0.458,Sri Lanka,25.534,2.908
180,2012-08-01,28.863,0.377,Sudan,19.876,8.987
181,2012-08-01,27.703,0.864,Suriname,26.16,1.543
182,2012-08-01,4.027,0.829,Svalbard And Jan Mayen,29.398,25.371
183,2012-08-01,13.33,0.346,Sweden,21.414,8.084
184,2012-08-01,30.36,0.983,Syria,26.12,4.24
185,2012-08-01,27.253,0.339,Taiwan,28.709,1.456
186,2012-08-01,21.965,0.397,Tanzania,22.163,0.198
187,2012-08-01,27.685,0.379,Thailand,34.821,7.136
188,2012-08-01,24.285,0.363,Timor Leste,12.024,12.261
189,2012-08-01,25.361,0.381,Togo,11.403,13.958
190,2012-08-01,27.444,0.898,Trinidad And Tobago,19.307,8.137
191,2012-08-01,31.986,0.709,Tunisia,11.078,20.908
192,2012-08-01,29.696,0.356,Turkmenistan,23.811,5.885
193,2012-08-01,29.673,0.315,Turks And Caicas Islands,24.447,5.226
194,2012-08-01,23.127,0.588,Uganda,26.494,3.367
195,2012-08-01,21.224,0.3,Ukraine,27.897,6.673
196,2012-08-01,37.288,1.075,United Arab Emirates,27.487,9.801
197,2012-08-01,15.761,0.244,United Kingdom of Great Britain and Northern Ireland,29.76,13.999
198,2012-08-01,15.152,0.287,United Kingdom of Great Britain and Northern Ireland,,
199,2012-08-01,21.422,0.251,United States of America,,
200,2012-08-01,15.242,0.285,Uruguay,,
201,2012-08-01,27.878,0.384,Uzbekistan,,
202,2012-08-01,27.373,0.622,Vietnam,,
203,2012-08-01,28.907,0.311,Virgin Islands,,
204,2012-08-01,29.201,0.627,Western Sahara,,
205,2012-08-01,31.642,0.897,Yemen,,
206,2012-08-01,20.57,0.839,Zambia,,
