,AvgTempMinus,AvgTempPlus,LandAverageTemperature,dt
0,6.08154545455,11.3571818182,8.71936363636,1750
1,5.195,10.7572857143,7.97614285714,1751
2,2.80283333333,8.75683333333,5.77983333333,1752
3,5.21208333333,11.5640833333,8.38808333333,1753
4,4.97508333333,11.9635833333,8.46933333333,1754
5,4.50525,12.2059166667,8.35558333333,1755
6,5.58725,12.1119166667,8.84958333333,1756
7,4.996,13.048,9.022,1757
8,3.38066666667,10.1065,6.74358333333,1758
9,4.30616666667,11.664,7.98508333333,1759
10,4.09625,10.2740833333,7.18516666667,1760
11,5.62766666667,11.9173333333,8.7725,1761
12,5.08225,12.13075,8.6065,1762
13,4.34516666667,10.6483333333,7.49675,1763
14,5.62508333333,11.1755833333,8.40033333333,1764
15,5.82416666667,10.6796666667,8.25191666667,1765
16,5.56983333333,11.2415,8.40566666667,1766
17,5.25883333333,11.1841666667,8.2215,1767
18,4.51533333333,9.04733333333,6.78133333333,1768
19,5.2845,10.1046666667,7.69458333333,1769
20,4.91125,10.4725833333,7.69191666667,1770
21,5.24858333333,10.45775,7.85316666667,1771
22,5.72966666667,10.6573333333,8.1935,1772
23,5.86075,10.58225,8.2215,1773
24,5.357,12.1873333333,8.77216666667,1774
25,6.8625,11.5036666667,9.18308333333,1775
26,5.43983333333,11.1681666667,8.304,1776
27,5.81341666667,10.6990833333,8.25625,1777
28,5.66975,11.41475,8.54225,1778
29,6.47741666667,11.4890833333,8.98325,1779
30,6.84808333333,12.01775,9.43291666667,1780
31,5.59875,10.6064166667,8.10258333333,1781
32,5.35066666667,10.4518333333,7.90125,1782
33,5.18641666667,10.17525,7.68083333333,1783
34,5.60633333333,10.1176666667,7.862,1784
35,5.1235,9.6025,7.363,1785
36,5.73275,10.7835833333,8.25816666667,1786
37,5.67008333333,10.3935833333,8.03183333333,1787
38,5.88933333333,11.005,8.44716666667,1788
39,6.4655,10.2028333333,8.33416666667,1789
40,6.21066666667,9.754,7.98233333333,1790
41,6.4505,10.018,8.23425,1791
42,6.38858333333,9.78941666667,8.089,1792
43,5.95475,10.5035833333,8.22916666667,1793
44,6.547,10.505,8.526,1794
45,6.307,10.3936666667,8.35033333333,1795
46,6.35033333333,10.1916666667,8.271,1796
47,6.46491666667,10.55625,8.51058333333,1797
48,6.76691666667,10.5735833333,8.67025,1798
49,6.76733333333,10.2441666667,8.50575,1799
50,6.76558333333,10.2029166667,8.48425,1800
51,7.008,10.1713333333,8.58966666667,1801
52,6.72916666667,10.4271666667,8.57816666667,1802
53,6.86983333333,10.1361666667,8.503,1803
54,7.003,10.6866666667,8.84483333333,1804
55,6.87383333333,10.2516666667,8.56275,1805
56,6.864,10.0041666667,8.43408333333,1806
57,6.68916666667,9.87366666667,8.28141666667,1807
58,5.63,9.62366666667,7.62683333333,1808
59,4.941,9.21183333333,7.07641666667,1809
60,4.61166666667,9.23366666667,6.92266666667,1810
61,4.76375,8.95525,6.8595,1811
62,4.91066666667,9.18183333333,7.04625,1812
63,6.03108333333,9.44875,7.73991666667,1813
64,5.42325,9.76025,7.59175,1814
65,5.27283333333,9.20583333333,7.23933333333,1815
66,4.74458333333,9.13041666667,6.9375,1816
67,5.26733333333,8.684,6.97566666667,1817
68,5.99983333333,9.658,7.82891666667,1818
69,5.78725,8.95108333333,7.36916666667,1819
70,5.9975,9.235,7.61625,1820
71,6.71425,9.46591666667,8.09008333333,1821
72,6.81308333333,9.56358333333,8.18833333333,1822
73,6.35641666667,9.08091666667,7.71866666667,1823
74,7.09933333333,9.995,8.54716666667,1824
75,6.8815,9.89716666667,8.38933333333,1825
76,6.797,9.91616666667,8.35658333333,1826
77,7.36516666667,10.2523333333,8.80875,1827
78,6.51691666667,9.81375,8.16533333333,1828
79,6.62208333333,9.26158333333,7.94183333333,1829
80,7.08533333333,9.94816666667,8.51675,1830
81,6.10766666667,9.17066666667,7.63916666667,1831
82,5.90975,8.99058333333,7.45016666667,1832
83,6.7795,9.2465,8.013,1833
84,6.9945,9.299,8.14675,1834
85,6.11716666667,8.66783333333,7.3925,1835
86,6.52641666667,8.86525,7.69583333333,1836
87,6.08475,8.66658333333,7.37566666667,1837
88,6.35258333333,8.67725,7.51491666667,1838
89,6.45283333333,8.81166666667,7.63225,1839
90,6.80508333333,8.78741666667,7.79625,1840
91,6.73616666667,8.64016666667,7.68816666667,1841
92,7.12525,8.92025,8.02275,1842
93,7.42383333333,8.9235,8.17366666667,1843
94,6.72033333333,8.57233333333,7.64633333333,1844
95,6.96966666667,8.73266666667,7.85116666667,1845
96,7.501,9.6045,8.55275,1846
97,7.18533333333,8.98666666667,8.086,1847
98,7.10816666667,8.85083333333,7.9795,1848
99,7.07083333333,8.898,7.98441666667,1849
100,7.02425,8.77708333333,7.90066666667,1850
101,7.29666666667,9.0605,8.17858333333,1851
102,7.18191666667,9.01841666667,8.10016666667,1852
103,7.20683333333,8.87683333333,8.04183333333,1853
104,7.38483333333,9.03616666667,8.2105,1854
105,7.22358333333,8.99791666667,8.11075,1855
106,7.23516666667,8.75666666667,7.99591666667,1856
107,7.00708333333,8.50925,7.75816666667,1857
108,7.4005,8.8,8.10025,1858
109,7.57733333333,8.92666666667,8.252,1859
110,7.33483333333,8.58683333333,7.96083333333,1860
111,7.19308333333,8.49991666667,7.8465,1861
112,6.86966666667,8.2475,7.55858333333,1862
113,7.36383333333,8.85983333333,8.11183333333,1863
114,7.30716666667,8.66,7.98358333333,1864
115,7.51566666667,8.84,8.17783333333,1865
116,7.68616666667,8.89816666667,8.29216666667,1866
117,7.8015,9.07116666667,8.43633333333,1867
118,7.70158333333,8.79425,8.24791666667,1868
119,7.83641666667,9.02775,8.43208333333,1869
120,7.65116666667,8.7515,8.20133333333,1870
121,7.54483333333,8.68533333333,8.11508333333,1871
122,7.60475,8.78291666667,8.19383333333,1872
123,7.80058333333,8.90158333333,8.35108333333,1873
124,7.91558333333,8.95141666667,8.4335,1874
125,7.40808333333,8.31108333333,7.85958333333,1875
126,7.64658333333,8.51358333333,8.08008333333,1876
127,8.08366666667,8.9955,8.53958333333,1877
128,8.40483333333,9.25466666667,8.82975,1878
129,7.70241666667,8.62925,8.16583333333,1879
130,7.70383333333,8.53366666667,8.11875,1880
131,7.85158333333,8.69025,8.27091666667,1881
132,7.749,8.50883333333,8.12891666667,1882
133,7.60625,8.34758333333,7.97691666667,1883
134,7.37741666667,8.16991666667,7.77366666667,1884
135,7.49466666667,8.34466666667,7.91966666667,1885
136,7.5685,8.3405,7.9545,1886
137,7.52283333333,8.307,7.91491666667,1887
138,7.70808333333,8.47291666667,8.0905,1888
139,7.94916666667,8.68883333333,8.319,1889
140,7.62866666667,8.31466666667,7.97166666667,1890
141,7.684,8.35466666667,8.01933333333,1891
142,7.727,8.40466666667,8.06583333333,1892
143,7.7115,8.402,8.05675,1893
144,7.84375,8.47825,8.161,1894
145,7.84775,8.44625,8.147,1895
146,7.90608333333,8.52375,8.21491666667,1896
147,7.9795,8.60716666667,8.29333333333,1897
148,7.85233333333,8.50366666667,8.178,1898
149,8.07158333333,8.72108333333,8.39633333333,1899
150,8.18683333333,8.81633333333,8.50158333333,1900
151,8.23566666667,8.84816666667,8.54191666667,1901
152,8.01166666667,8.59716666667,8.30441666667,1902
153,7.93016666667,8.51016666667,8.22016666667,1903
154,7.8045,8.37733333333,8.09091666667,1904
155,7.94641666667,8.50391666667,8.22516666667,1905
156,8.10416666667,8.654,8.37908333333,1906
157,7.69,8.20433333333,7.94716666667,1907
158,7.91133333333,8.46083333333,8.18608333333,1908
159,7.9155,8.441,8.17825,1909
160,7.96291666667,8.48308333333,8.223,1910
161,7.92916666667,8.42483333333,8.177,1911
162,7.907,8.42383333333,8.16541666667,1912
163,8.0355,8.56,8.29775,1913
164,8.33858333333,8.84241666667,8.5905,1914
165,8.347,8.83933333333,8.59316666667,1915
166,7.96483333333,8.48566666667,8.22525,1916
167,7.76266666667,8.284,8.02333333333,1917
168,7.86258333333,8.39908333333,8.13083333333,1918
169,8.1155,8.649,8.38225,1919
170,8.09608333333,8.62141666667,8.35875,1920
171,8.31416666667,8.82783333333,8.571,1921
172,8.14941666667,8.66658333333,8.408,1922
173,8.16908333333,8.67525,8.42216666667,1923
174,8.25,8.76366666667,8.50683333333,1924
175,8.29366666667,8.77516666667,8.53441666667,1925
176,8.48616666667,8.9715,8.72883333333,1926
177,8.27316666667,8.771,8.52208333333,1927
178,8.38358333333,8.88075,8.63216666667,1928
179,7.99066666667,8.49416666667,8.24241666667,1929
180,8.39391666667,8.87325,8.63358333333,1930
181,8.4815,8.957,8.71925,1931
182,8.45633333333,8.95416666667,8.70525,1932
183,8.09558333333,8.58091666667,8.33825,1933
184,8.38825,8.86841666667,8.62833333333,1934
185,8.27983333333,8.75166666667,8.51575,1935
186,8.31091666667,8.79708333333,8.554,1936
187,8.45825,8.93841666667,8.69833333333,1937
188,8.62316666667,9.10416666667,8.86366666667,1938
189,8.523,8.99766666667,8.76033333333,1939
190,8.53358333333,8.99575,8.76466666667,1940
191,8.54083333333,8.9965,8.76866666667,1941
192,8.49891666667,8.95791666667,8.72841666667,1942
193,8.5285,8.98166666667,8.75508333333,1943
194,8.61983333333,9.07016666667,8.845,1944
195,8.3645,8.80516666667,8.58483333333,1945
196,8.4545,8.89933333333,8.67691666667,1946
197,8.58,9.01416666667,8.79708333333,1947
198,8.53716666667,8.95633333333,8.74675,1948
199,8.3785,8.795,8.58675,1949
200,8.17891666667,8.55158333333,8.36525,1950
201,8.4415,8.80983333333,8.62566666667,1951
202,8.4295,8.847,8.63825,1952
203,8.66166666667,9.08583333333,8.87375,1953
204,8.3735,8.74783333333,8.56066666667,1954
205,8.47266666667,8.77983333333,8.62625,1955
206,8.15875,8.40041666667,8.27958333333,1956
207,8.5745,8.8905,8.7325,1957
208,8.66941666667,8.87808333333,8.77375,1958
209,8.6255,8.83983333333,8.73266666667,1959
210,8.49025,8.67725,8.58375,1960
211,8.70066666667,8.89466666667,8.79766666667,1961
212,8.613,8.87883333333,8.74591666667,1962
213,8.76366666667,8.94833333333,8.856,1963
214,8.31716666667,8.50216666667,8.40966666667,1964
215,8.41858333333,8.63625,8.52741666667,1965
216,8.50708333333,8.69158333333,8.59933333333,1966
217,8.61641666667,8.78375,8.70008333333,1967
218,8.40466666667,8.628,8.51633333333,1968
219,8.50991666667,8.68025,8.59508333333,1969
220,8.62533333333,8.7765,8.70091666667,1970
221,8.50133333333,8.69716666667,8.59925,1971
222,8.40425,8.59491666667,8.49958333333,1972
223,8.8475,9.049,8.94825,1973
224,8.363,8.572,8.4675,1974
225,8.64775,8.84191666667,8.74483333333,1975
226,8.24666666667,8.44783333333,8.34725,1976
227,8.76558333333,8.93491666667,8.85025,1977
228,8.58891666667,8.79658333333,8.69275,1978
229,8.647,8.81983333333,8.73341666667,1979
230,8.87366666667,9.087,8.98033333333,1980
231,9.07858333333,9.25308333333,9.16583333333,1981
232,8.5565,8.72183333333,8.63916666667,1982
233,8.93416666667,9.12216666667,9.02816666667,1983
234,8.58925,8.79441666667,8.69183333333,1984
235,8.56475,8.75125,8.658,1985
236,8.74858333333,8.91858333333,8.83358333333,1986
237,8.90925,9.07958333333,8.99441666667,1987
238,9.1215,9.28166666667,9.20158333333,1988
239,8.834,9.01,8.922,1989
240,9.14783333333,9.3205,9.23416666667,1990
241,9.11733333333,9.2415,9.17941666667,1991
242,8.75325,8.91991666667,8.83658333333,1992
243,8.78525,8.94791666667,8.86658333333,1993
244,8.96783333333,9.10966666667,9.03875,1994
245,9.27066666667,9.4235,9.34708333333,1995
246,8.95416666667,9.12366666667,9.03891666667,1996
247,9.114,9.29116666667,9.20258333333,1997
248,9.44875,9.59658333333,9.52266666667,1998
249,9.20583333333,9.36433333333,9.28508333333,1999
250,9.11766666667,9.28466666667,9.20116666667,2000
251,9.32716666667,9.502,9.41458333333,2001
252,9.498,9.64283333333,9.57041666667,2002
253,9.43491666667,9.61625,9.52558333333,2003
254,9.24116666667,9.408,9.32458333333,2004
255,9.62575,9.77608333333,9.70091666667,2005
256,9.4425,9.6225,9.5325,2006
257,9.64266666667,9.82166666667,9.73216666667,2007
258,9.35283333333,9.51066666667,9.43175,2008
259,9.41933333333,9.59116666667,9.50525,2009
260,9.61966666667,9.7865,9.70308333333,2010
261,9.434,9.598,9.516,2011
262,9.42391666667,9.59075,9.50733333333,2012
263,9.50883333333,9.70416666667,9.6065,2013
264,9.4805,9.66083333333,9.57066666667,2014
265,9.73883333333,9.92316666667,9.831,2015
